adopted_Teff,adopted_logg
4974.0,4.579
5577.0,4.5
4616.9,4.604
4805.9,4.601
4957.5,4.603
5252.0,4.552
4413.0,4.621
4413.0,4.621
4163.9,4.627
4163.9,4.627
4163.9,4.627
5554.3,4.529
5221.2,4.59
4832.3,4.604
4535.9,4.642
5741.7,4.463
5266.6,4.541
3808.0,4.734
4866.3,4.591
5584.6,4.498
5799.2,4.466
5794.0,4.5
5356.3,4.518
4941.7,4.602
5674.9,4.485
5755.9,4.459
5755.9,4.459
5634.8,4.538
5634.8,4.538
5069.7,4.555
5069.7,4.555
5069.7,4.555
5362.9,4.582
5522.2,4.569
4735.8,4.582
5383.1,4.509
4920.0,4.62
3895.6,4.697
3895.6,4.697
4417.1,4.609
4417.1,4.609
5678.8,4.478
5210.8,4.545
4332.2,4.628
4332.2,4.628
5501.2,4.48
5125.9,4.527
5440.1,4.507
5535.6,4.446
4724.1,4.603
5884.3,4.406
5698.0,4.455
4861.2,4.577
5259.7,4.603
4577.4,4.611
5168.6,4.516
5708.9,4.447
5489.4,4.53
5056.4,4.573
5224.2,4.542
5420.2,4.534
5282.4,4.556
5200.0,4.535
5424.5,4.514
5538.2,4.515
5728.2,4.458
5049.8,4.568
3937.4,4.641
3895.5,4.628
5241.8,4.587
4029.4,4.647
4913.3,4.571
5661.3,4.451
5334.9,4.526
5334.9,4.526
5270.4,4.542
5430.6,4.485
5430.6,4.485
5404.4,4.524
4869.4,4.574
4871.8,4.581
4454.0,4.619
4454.0,4.619
4454.0,4.619
4454.0,4.619
4454.0,4.619
5088.0,4.575
5781.4,4.496
5546.4,4.498
5118.2,4.55
5118.2,4.55
5366.7,4.529
5366.7,4.529
4954.6,4.559
4954.6,4.559
4596.5,4.62
4596.5,4.62
4596.5,4.62
4596.5,4.62
4467.5,4.635
5396.7,4.528
5701.3,4.473
5701.3,4.473
5330.9,4.577
5330.9,4.577
5330.9,4.577
5765.6,4.472
5167.0,4.555
5915.2,4.506
4343.8,4.645
5666.6,4.48
6012.0,4.384
4933.4,4.57
5117.4,4.553
4658.4,4.635
5927.6,4.462
5602.3,4.544
5602.3,4.544
5682.8,4.475
5700.2,4.479
5105.0,4.588
5105.0,4.588
5427.1,4.533
5427.1,4.533
4594.1,4.591
5030.2,4.569
4941.3,4.556
5283.3,4.499
5533.1,4.499
5533.1,4.499
4560.5,4.597
5250.9,4.529
4266.8,4.646
4255.0,4.657
6118.5,4.344
5614.3,4.507
4828.5,4.587
5367.1,4.569
5367.1,4.569
5367.1,4.569
4652.8,4.6
4652.8,4.6
5331.4,4.555
5113.0,4.521
5440.2,4.513
5627.6,4.539
5702.9,4.479
5324.8,4.544
6080.6,4.455
5030.4,4.551
4979.8,4.563
4979.8,4.563
5816.2,4.497
5539.2,4.448
5839.6,4.49
5850.1,4.518
5183.7,4.566
5227.9,4.551
4785.6,4.588
5825.7,4.432
4705.2,4.584
5140.1,4.545
5396.9,4.529
5227.8,4.591
5521.7,4.575
4698.2,4.6
4599.0,4.596
5440.0,4.489
5440.0,4.489
4565.7,4.608
4499.3,4.628
4499.3,4.628
3913.2,4.651
4696.1,4.627
4701.2,4.603
4827.9,4.551
5354.0,4.533
5130.7,4.542
4846.4,4.558
4846.4,4.558
5261.4,4.547
5261.4,4.547
5748.6,4.536
5261.7,4.524
5587.4,4.514
5587.4,4.514
5587.4,4.514
5318.7,4.585
4718.4,4.596
5162.6,4.583
5833.7,4.516
4170.7,4.632
4933.7,4.558
4616.8,4.596
5051.0,4.554
5370.3,4.52
5374.7,4.49
4196.6,4.613
4281.0,4.659
4281.0,4.659
4846.7,4.596
5310.8,4.535
4158.3,4.633
4270.7,4.644
5571.3,4.518
5571.3,4.518
4771.7,4.595
5321.9,4.559
5707.6,4.545
5590.4,4.507
5545.9,4.465
4049.5,4.675
4839.9,4.563
4947.4,4.605
5079.5,4.592
4958.9,4.56
4821.7,4.596
4542.3,4.591
4542.3,4.591
5971.7,4.376
5971.7,4.376
6029.3,4.401
4630.1,4.606
5463.6,4.521
5542.4,4.495
5542.4,4.495
5835.0,4.459
5375.8,4.51
5370.6,4.555
5047.6,4.603
5047.6,4.603
5047.6,4.603
5509.4,4.522
5654.0,4.482
5272.9,4.498
4670.2,4.585
6096.8,4.387
5058.9,4.533
4955.1,4.558
5588.2,4.472
5699.3,4.443
5699.3,4.443
5668.6,4.514
5668.6,4.514
5518.4,4.502
5761.2,4.474
4955.0,4.57
4955.0,4.57
4031.9,4.66
3890.7,4.708
3890.7,4.708
5192.5,4.526
5205.2,4.595
5205.2,4.595
4737.9,4.601
3974.7,4.707
3974.7,4.707
3974.7,4.707
4854.7,4.582
4850.9,4.604
4850.9,4.604
4850.9,4.604
5922.6,4.434
4865.2,4.573
4779.5,4.614
4779.5,4.614
5695.5,4.504
5699.8,4.447
5198.8,4.523
4908.6,4.613
4908.6,4.613
4908.6,4.613
4096.3,4.62
5111.6,4.579
5111.6,4.579
4276.3,4.64
5556.8,4.518
5772.4,4.502
5675.1,4.481
6004.0,4.484
5341.8,4.555
5152.7,4.515
5152.7,4.515
5195.0,4.598
5627.3,4.529
5775.0,4.438
4617.1,4.609
5419.8,4.482
5756.1,4.457
4501.7,4.623
5669.0,4.451
5759.5,4.5
5108.9,4.544
4846.0,4.552
4550.0,4.627
5216.1,4.558
5576.3,4.467
5576.3,4.467
5576.3,4.467
5834.1,4.492
5043.3,4.565
5043.3,4.565
5672.5,4.5
5672.5,4.5
5672.5,4.5
4750.9,4.604
3846.8,4.655
5741.6,4.462
5543.0,4.496
4981.0,4.541
4553.9,4.607
4866.0,4.586
5276.1,4.583
5562.5,4.515
5636.2,4.465
5772.1,4.48
6103.2,4.383
5877.6,4.524
4868.0,4.586
4868.0,4.586
4868.0,4.586
5523.2,4.471
5523.2,4.471
4907.5,4.591
5655.1,4.494
4453.2,4.597
4453.2,4.597
4453.2,4.597
4453.2,4.597
4453.2,4.597
5887.7,4.403
5947.5,4.38
5947.5,4.38
5947.5,4.38
5161.9,4.559
5905.5,4.469
5778.7,4.445
5581.5,4.467
5581.5,4.467
5249.0,4.515
5249.0,4.515
5954.8,4.396
5954.8,4.396
5450.8,4.536
5773.8,4.47
5480.2,4.591
4696.9,4.593
4688.8,4.574
4688.8,4.574
5437.4,4.503
5505.2,4.521
5505.2,4.521
6107.9,4.44
6107.9,4.44
5761.0,4.427
5134.9,4.512
5090.3,4.556
5089.6,4.557
5089.6,4.557
5864.8,4.459
5626.9,4.485
5241.6,4.504
5241.6,4.504
5367.6,4.539
5890.3,4.251
6193.2,4.389
5205.4,4.536
5364.1,4.564
5368.1,4.562
5540.0,4.521
5862.2,4.462
6032.3,4.462
5233.8,4.55
5233.8,4.55
5326.4,4.507
5129.1,4.545
