KIC,Porb,Prot
1026957,21.7613,20.61
2438513,12.1842,13.04
3114811,11.0896,9.8
3354846,18.5526,18.83
3762468,3.00388,3.02
4049131,20.5059,22.86
4072526,33.1996,28.15
4173026,10.4409,11.43
4248120,23.3404,23.3
4473226,14.8334,15.3
5177859,6.98472,7.09
5281113,11.1793,12.4
5383248,16.2385,14.88
5514383,6.88341,7.82
5780930,16.7526,14.08
5784777,5.33906,6.43
5796675,16.0807,16.97
5865654,23.9554,28.15
5966322,60.9283,52.0
6206214,13.5396,13.3
6226290,14.0883,13.41
6226908,19.5975,23.18
6305192,8.02512,9.04
6364582,30.8609,27.0
6383821,27.0724,31.4
6497146,35.2332,35.88
6761777,47.3126,41.0
7045496,13.4747,14.27
7047363,31.0572,27.19
7047824,24.7544,21.33
7124613,4.41746,4.73
7133294,13.6474,16.7
7510820,29.3495,32.5
7522911,20.4998,22.0
7532973,2.14463,2.15
7870032,16.8773,15.62
8110767,20.4905,19.63
8226050,34.2686,31.0
8367644,22.0856,21.0
8379705,11.1297,10.89
8591173,12.2885,11.2
8620402,14.196,17.3
8653134,5.34265,5.05
8802165,17.4212,19.8
8832512,9.97684,9.42
8866102,17.8336,20.6
8884274,10.6528,11.59
8973129,24.1739,24.7
9266431,18.3963,20.75
9391208,16.5606,19.0
9401997,32.2969,31.0
9450647,9.94067,8.3
9527334,8.31378,8.54
9589524,22.1843,22.0
9597058,12.0571,12.77
9656252,16.9234,17.57
9710326,28.5992,25.55
9716391,13.183,16.28
9753154,3.70428,3.2
9818462,25.9422,30.59
9881077,24.4003,22.39
9963265,16.4869,17.09
10272640,3.77055,4.01
10285631,18.684,18.5
10329469,55.8227,55.0
10922659,31.2543,31.5
11074541,29.8849,32.33
11100383,12.9249,14.98
11244682,3.49082,4.16
11460462,5.03728,4.3
11768142,38.0972,33.0
11852982,13.815,16.17
12256520,33.2407,29.3
