# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Aug 20 10:49:05 2024
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
#
kepid,kepoi_name
10797460,K00752.01
10797460,K00752.02
10811496,K00753.01
10848459,K00754.01
10854555,K00755.01
10872983,K00756.01
10872983,K00756.02
10872983,K00756.03
6721123,K00114.01
10910878,K00757.01
11446443,K00001.01
10666592,K00002.01
6922244,K00010.01
10984090,K00112.02
10419211,K00742.01
10464078,K00743.01
10480982,K00744.01
10485250,K00745.01
10526549,K00746.01
10583066,K00747.01
10583180,K00748.01
10601284,K00749.01
10601284,K00749.02
10601284,K00749.03
2306756,K00113.01
10662202,K00750.01
10682541,K00751.01
11460018,K00769.01
11463211,K00770.01
11465813,K00771.01
11493732,K00772.01
11507101,K00773.01
10910878,K00757.02
10910878,K00757.03
10987985,K00758.01
11018648,K00759.01
11018648,K00759.02
11138155,K00760.01
11152159,K00761.01
11153539,K00762.01
11242721,K00763.01
9579641,K00115.01
11304958,K00764.01
11391957,K00765.01
11403044,K00766.01
11414511,K00767.01
11442465,K00768.01
12110942,K00786.01
12366084,K00787.01
12366084,K00787.02
12404086,K00788.01
8395660,K00116.01
9579641,K00115.02
11656840,K00774.01
11754553,K00775.01
11754553,K00775.02
11754553,K00775.03
11812062,K00776.01
11818800,K00777.01
11853255,K00778.01
11909839,K00779.01
11918099,K00780.01
11918099,K00780.02
9579641,K00115.03
11923270,K00781.01
11960862,K00782.01
12020329,K00783.01
12066335,K00784.01
12066335,K00784.02
12070811,K00785.01
8395660,K00116.02
3120431,K00798.01
3246984,K00799.01
3342970,K00800.01
3342970,K00800.02
12459725,K00789.01
12470844,K00790.01
12470844,K00790.02
12644822,K00791.01
2440757,K00792.01
2445129,K00793.01
2713049,K00794.01
3114167,K00795.01
3114661,K00796.01
3115833,K00797.01
4139816,K00812.02
4139816,K00812.03
8395660,K00116.04
4139816,K00812.04
4275191,K00813.01
4476123,K00814.01
3351888,K00801.01
3453214,K00802.01
3554600,K00803.01
3641726,K00804.01
3734868,K00805.01
3832474,K00806.01
8395660,K00116.03
3832474,K00806.02
3832474,K00806.03
3836375,K00807.01
3838486,K00808.01
3935914,K00809.01
3940418,K00810.01
4049131,K00811.01
4139816,K00812.01
5287983,K00828.01
5358241,K00829.01
10875245,K00117.02
5358241,K00829.02
5358241,K00829.03
5358624,K00830.01
4544670,K00815.01
4664847,K00816.01
4725681,K00817.01
4725681,K00817.02
4913852,K00818.01
4932348,K00819.01
4936180,K00820.01
11913073,K00011.01
10875245,K00117.01
5021899,K00821.01
5077629,K00822.01
5115978,K00823.01
5164255,K00824.01
5252423,K00825.01
5252423,K00825.02
5272878,K00826.01
5283542,K00827.01
5649215,K00839.01
5651104,K00840.01
5792202,K00841.01
10875245,K00117.04
5792202,K00841.02
5370302,K00831.01
5372966,K00832.01
5376067,K00833.01
5436502,K00834.01
5436502,K00834.02
5436502,K00834.03
5436502,K00834.04
10875245,K00117.03
5436502,K00834.05
5456651,K00835.01
5456651,K00835.02
5481416,K00836.01
5531576,K00837.01
5531576,K00837.02
5534814,K00838.01
6291653,K00850.01
6392727,K00851.01
6422070,K00852.01
6428700,K00853.01
6428700,K00853.02
5792202,K00841.03
5794379,K00842.01
5794379,K00842.02
5881688,K00843.01
6022556,K00844.01
6032497,K00845.01
6061119,K00846.01
6191521,K00847.01
6267425,K00848.01
3531558,K00118.01
6276477,K00849.01
6863998,K00867.01
6867155,K00868.01
6948054,K00869.01
6948054,K00869.02
6948054,K00869.03
6435936,K00854.01
6522242,K00855.01
6526710,K00856.01
6587280,K00857.01
9471974,K00119.01
6587280,K00857.02
6599919,K00858.01
6675056,K00859.01
6685526,K00861.01
6756669,K00862.01
6784235,K00863.01
6849310,K00864.01
6849310,K00864.02
6849310,K00864.03
6862328,K00865.01
9471974,K00119.02
6862603,K00866.01
7366258,K00880.01
7366258,K00880.02
7366258,K00880.03
7366258,K00880.04
7373451,K00881.01
6948054,K00869.04
6949607,K00870.01
6949607,K00870.02
7031517,K00871.01
11869052,K00120.01
7109675,K00872.01
7109675,K00872.02
7118364,K00873.01
7134976,K00874.01
7134976,K00874.02
7135852,K00875.01
7270230,K00876.01
7287995,K00877.01
7287995,K00877.02
7287995,K00877.03
3247396,K00121.01
7303253,K00878.01
5094751,K00123.01
7678434,K00892.01
7678434,K00892.02
7685981,K00893.01
7708215,K00894.01
