#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-06-14T21:10:08 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62a8f53d18970b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=37	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/244/21&tab:{J/ApJS/244/21/table3}&key:source=J/ApJS/244/21&HTTPPRM:&&-ref=VIZ62a8f53d18970b&-out.max=50&-out.form=HTML Table&-order=I&-oc.form=sexa&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/244/21/table3
#-order=I
#-out=KIC
#-out=Kpmag
#-out=Q
#-out=Teff
#-out=E_Teff
#-out=e_Teff
#-out=logg
#-out=E_logg
#-out=e_logg
#-out=Mass
#-out=E_Mass
#-out=e_Mass
#-out=Prot
#-out=E_Prot
#-out=Sph
#-out=E_Sph
#-out=Fl1
#-out=DMK
#-out=Fl2
#-out=Fl3
#-out=Fl4
#-out=Fl5
#-out=M17
#M17=M17
#-out=Simbad
#Simbad=Simbad
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_22440021
#Name: J/ApJS/244/21
#Title: Surface rotation & activity of Kepler stars. I. (Santos+, 2019)
#Table	J_ApJS_244_21_table3:
#Name: J/ApJS/244/21/table3
#Title: Stellar properties for stars with successfully recovered rotation period
#Column	KIC	(I8)	[892834/12984138] Kepler Input Catalog ID	[ucd=meta.id;meta.main]
#Column	Kpmag	(F6.3)	[9/20]? Kepler magnitude	[ucd=phot.mag;em.opt]
#Column	Q	(A5)	First and last observed Kepler Quarters	[ucd=meta.note]
#Column	Teff	(I4)	[2500/5199] Effective temperature	[ucd=phys.temperature.effective]
#Column	E_Teff	(I3)	[0/636] Upper uncertainty on Teff	[ucd=stat.error;stat.max]
#Column	e_Teff	(I3)	[0/706] Lower uncertainty on Teff	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F6.3)	[4.3/5.4] Log surface gravity	[ucd=phys.gravity]
#Column	E_logg	(F6.3)	[0/0.3] Upper uncertainty on logg	[ucd=stat.error;stat.max]
#Column	e_logg	(F6.3)	[0/0.9] Lower uncertainty on logg	[ucd=stat.error]
#Column	Mass	(F6.3)	[0.08/1] Mass	[ucd=phys.mass]
#Column	E_Mass	(F6.3)	[0/0.2] Upper uncertainty on Mass	[ucd=stat.error;stat.max]
#Column	e_Mass	(F6.3)	[0/0.3] Lower uncertainty on Mass	[ucd=stat.error;phys.mass]
#Column	Prot	(F6.2)	[0.2/143.1] Rotation period	[ucd=time.period]
#Column	E_Prot	(F5.2)	[0.03/14]? Uncertainty on Prot	[ucd=stat.error;stat.max]
#Column	Sph	(F7.1)	[1.6/65595.7] Photometric activity proxy	[ucd=spect.index]
#Column	E_Sph	(F7.1)	[2.9/11377.5] Uncertainty on Sph	[ucd=stat.error;stat.max]
#Column	Fl1	(I1)	[1]? CP/CB candidate flag (1=Type 1 CP/CB candidate) (1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	DMK	(F6.3)	[-1.3/0.8]? Luminosity excess correction (G1)	[ucd=phot.color.excess]
#Column	Fl2	(I1)	[0/1]? GAIA binary flag (G2) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Fl3	(I1)	[0/1]? GAIA subgiant flag (G3) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Fl4	(I1)	[0/1]? KOI flag (G4) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Fl5	(I1)	[0/2]? FliPer Class flag (G5) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	M17	(A3)	Display the data from the KSPC DR25 (Mathur+, 2017, J/ApJS/229/30)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Position from KIC catalog (V/133) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position from KIC catalog (V/133) (declination part)	[ucd=pos.eq.dec;meta.main]
KIC	Kpmag	Q	Teff	E_Teff	e_Teff	logg	E_logg	e_logg	Mass	E_Mass	e_Mass	Prot	E_Prot	Sph	E_Sph	Fl1	DMK	Fl2	Fl3	Fl4	Fl5	M17	Simbad	_RA	_DE
 	mag	 	K	K	K	[cm-2]	[cm-2]	[cm-2]	Msun	Msun	Msun	d	d	ppm	ppm	 	mag	 	 	 	 	 	 	deg	deg
--------	------	-----	----	---	---	------	------	------	------	------	------	------	-----	-------	-------	-	------	-	-	-	-	---	------	---------	---------
  892834	15.269	 1-17	4940	151	136	 4.615	 0.032	 0.063	 0.785	 0.057	 0.078	 13.61	 1.02	 2077.5	   82.5	 	      	0	0	 	0	M17	Simbad	291.16327	+36.62759
  892882	14.979	 1-17	5149	153	153	 4.518	 0.082	 0.067	 0.748	 0.103	 0.059	 21.96	 1.70	 1765.2	   55.0	 	      	 	 	 	0	M17	Simbad	291.17325	+36.69836
  893033	15.303	 1-17	4862	145	145	 4.607	 0.024	 0.060	 0.814	 0.042	 0.079	 25.94	 1.88	 2173.1	   62.4	 	      	0	0	 	0	M17	Simbad	291.20749	+36.66771
 1026146	15.439	 1-17	4419	119	133	 4.624	 0.049	 0.024	 0.640	 0.068	 0.051	 14.69	 1.01	 2528.6	   95.8	 	      	 	 	 	0	M17	Simbad	291.07007	+36.78060
 1026287	15.034	 1-17	4989	151	136	 4.545	 0.066	 0.044	 0.749	 0.085	 0.064	 27.80	 5.17	  271.1	   12.9	 	      	0	0	 	0	M17	Simbad	291.10431	+36.71678
 1026992	15.851	 1-17	4854	145	145	 4.657	 0.031	 0.058	 0.695	 0.067	 0.067	 33.54	 2.13	  519.1	   30.7	 	      	0	0	 	0	M17	Simbad	291.26230	+36.70469
 1027016	14.206	 1-17	4760	 85	 76	 4.630	 0.013	 0.045	 0.760	 0.027	 0.050	  1.24	 0.08	 2681.5	  326.0	1	      	1	0	 	0	M17	Simbad	291.26682	+36.77995
 1027277	15.754	 1-17	4513	121	134	 4.603	 0.049	 0.025	 0.672	 0.066	 0.054	 30.00	 2.43	 1790.9	   51.9	 	      	0	0	 	0	M17	Simbad	291.32178	+36.72507
 1027330	15.357	 1-17	4880	146	146	 4.588	 0.065	 0.035	 0.667	 0.088	 0.041	 31.27	 2.57	  770.7	   25.0	 	      	0	0	 	0	M17	Simbad	291.33347	+36.71707
 1027631	14.808	 1-17	4776	142	142	 4.640	 0.059	 0.032	 0.604	 0.065	 0.033	 32.15	 2.15	  779.8	   32.1	 	      	 	 	 	0	M17	Simbad	291.39209	+36.71995
 1160947	15.826	 1-17	4583	124	138	 4.655	 0.024	 0.052	 0.713	 0.050	 0.074	 24.54	 1.80	 3203.1	   94.4	 	      	0	0	 	0	M17	Simbad	290.93872	+36.89921
 1161315	14.908	 1-17	4242	 76	 76	 4.644	 0.039	 0.015	 0.596	 0.040	 0.024	 48.06	 5.63	  880.7	   20.7	 	      	 	 	 	0	M17	Simbad	291.04068	+36.85393
 1162635	15.802	 1-17	3758	 45	 50	 4.756	 0.030	 0.020	 0.506	 0.023	 0.025	 15.42	 1.04	 1800.1	   73.2	 	      	 	 	 	0	M17	Simbad	291.33484	+36.80644
 1163090	15.617	 2-17	4877	145	145	 4.571	 0.050	 0.041	 0.752	 0.068	 0.061	 15.64	 1.21	 3927.5	  139.5	 	      	0	0	 	0	M17	Simbad	291.43665	+36.81997
 1163303	15.816	 4-17	5044	176	176	 4.589	 0.035	 0.070	 0.805	 0.071	 0.078	  9.90	 0.73	 2930.8	  137.5	 	      	0	0	 	0	M17	Simbad	291.48193	+36.83423
 1163994	15.554	 1-17	4633	139	125	 4.617	 0.039	 0.035	 0.691	 0.062	 0.062	 28.18	 2.40	  574.1	   22.8	 	      	0	0	 	2	M17	Simbad	291.62988	+36.82298
 1164071	15.797	 2-16	4701	128	142	 4.599	 0.048	 0.032	 0.684	 0.076	 0.055	 13.43	 1.06	  509.7	   35.8	 	      	0	0	 	0	M17	Simbad	291.64465	+36.80154
 1164102	15.274	 1-17	4203	126	139	 4.636	 0.045	 0.021	 0.631	 0.054	 0.059	 29.59	 3.38	  307.1	   14.4	 	      	0	0	 	0	M17	Simbad	291.65097	+36.83684
 1164583	14.270	 1-17	4584	124	124	 4.615	 0.042	 0.032	 0.684	 0.067	 0.055	 46.75	 5.50	 1506.3	   31.3	 	      	 	 	 	0	M17	Simbad	291.75687	+36.87457
 1292688	15.823	 1-17	3776	 68	 75	 4.726	 0.039	 0.018	 0.526	 0.033	 0.029	 43.02	 4.63	 1315.8	   34.5	 	      	0	0	 	0	M17	Simbad	290.92023	+36.91717
 1293861	15.708	 2-17	5118	153	153	 4.607	 0.028	 0.083	 0.839	 0.059	 0.095	 32.60	 1.60	  638.0	   33.4	 	      	0	0	 	0	M17	Simbad	291.22626	+36.97482
 1293907	13.736	 1-17	5076	153	138	 4.533	 0.071	 0.058	 0.759	 0.090	 0.057	 26.30	 2.13	 1196.8	   33.0	 	      	 	 	 	0	M17	Simbad	291.23825	+36.94551
 1293993	14.753	 1-17	4996	 75	 82	 4.606	 0.008	 0.068	 0.867	 0.021	 0.063	 20.78	 1.83	 1039.2	   35.3	 	      	0	0	 	0	M17	Simbad	291.25613	+36.93656
 1294535	15.762	 1-17	4753	128	142	 4.589	 0.052	 0.032	 0.700	 0.076	 0.055	 36.18	 5.85	  869.4	   27.7	 	      	0	0	 	0	M17	Simbad	291.37280	+36.96981
 1295195	13.810	 1-17	4903	148	133	 4.576	 0.045	 0.045	 0.755	 0.069	 0.062	 21.96	 1.83	 2925.5	   83.4	 	      	0	0	 	0	M17	Simbad	291.51410	+36.96842
 1295289	15.565	 1-17	5060	151	151	 4.598	 0.025	 0.085	 0.861	 0.049	 0.085	  9.63	 0.70	 3160.3	  145.7	 	      	 	 	 	0	M17	Simbad	291.53604	+36.99630
