kepid,kepoi_name,kepler_name,koi_disposition,adopted_Teff,Prot,adopted_rp,adopted_period,flag_dr3_ruwe_outlier,flag_koi_is_grazing,flag_gyro_quality,flag_planet_quality,has_hires,t_gyro,t_li,Li_EW,comment,are_gyro_and_li_consistent
6184894,K05245.01,Kepler-1627 b,CONFIRMED,5357,2.62,3.79,7.20,1,0,1152,0,1,$81^{+158}_{-55}$,$51^{+38}_{-27}$,$225\pm7$,Cep-Her,Yes
10736489,K07368.01,Kepler-1974 b,CONFIRMED,5068,2.56,2.22,6.84,0,0,1536,0,1,$88^{+183}_{-60}$,$54^{+47}_{-25}$,$248\pm4$,Cep-Her,Yes
10717220,K06228.01,Kepler-1644 b,CONFIRMED,5521,1.43,1.88,21.09,1,1,1666,4,1,$77^{+144}_{-53}$,$> 767$,$-2\pm13$,Unres. Binary,No
8653134,K06186.01,Kepler-1643 b,CONFIRMED,4918,5.05,2.11,5.34,0,0,2048,0,1,$79^{+182}_{-54}$,$191^{+92}_{-76}$,$120\pm6$,Cep-Her,Yes
11244682,K03933.01,Kepler-1699 b,CONFIRMED,5496,4.16,1.32,3.49,1,0,1152,0,1,$85^{+106}_{-58}$,$> 889$,$-11\pm7$,Unres. Binary,No
5784777,K03916.01,Kepler-1529 b,CONFIRMED,4974,6.43,2.01,5.34,0,0,2048,0,1,$109^{+117}_{-70}$,$90^{+53}_{-39}$,$200\pm6$,\checkmark \checkmark,Yes
8873450,K07913.01,Kepler-1975 b,CONFIRMED,4450,3.36,2.03,24.28,0,0,1792,0,1,$95^{+224}_{-66}$,$> 57$,$56\pm9$,Cep-Her,Yes
11187436,K01804.01,Kepler-957 b,CONFIRMED,4947,4.52,6.90,5.91,0,0,0,0,1,$96^{+197}_{-66}$,$> 241$,$24\pm9$,\checkmark,Yes
4947556,K03936.02,Kepler-1930 b,CONFIRMED,4906,7.10,1.52,13.03,0,1,0,4,1,$174^{+106}_{-65}$,$115^{+55}_{-49}$,$170\pm4$,,Yes
3440118,K03876.01,Kepler-1928 b,CONFIRMED,5577,4.64,1.86,19.58,0,0,1024,0,1,$148^{+102}_{-87}$,$189^{+150}_{-94}$,$137\pm4$,MELANGE-3,Yes
