kepid,kepoi_name,kepler_name,koi_disposition,adopted_Teff,adopted_Teff_err,adopted_Teff_provenance,Prot,Prot_err,Prot_provenance,li_eagles_LiEW,li_eagles_eLiEW,gyro_median,gyro_+1sigma,gyro_-1sigma,li_median,li_+1sigma,li_-1sigma,adopted_rp,adopted_rp_provenance,adopted_period,flag_gyro_quality,flag_planet_quality,has_hires,t_gyro,t_li,are_gyro_and_li_consistent
6184894,K05245.01,Kepler-1627 b,CONFIRMED,5357,95,2020AJ....159..280B,2.620,0.026,2021ApJS..255...17S,225,7,81,158,55,51,38,27,3.79,2022AJ....163..121B,7.2,1152,0,1,$81^{+158}_{-55}$,$51^{+38}_{-27}$,Yes
10736489,K07368.01,Kepler-1974 b,CONFIRMED,5068,76,2020AJ....159..280B,2.560,0.026,2021ApJS..255...17S,248,4,88,183,60,54,47,25,2.22,2022AJ....164..215B,6.84,1536,0,1,$88^{+183}_{-60}$,$54^{+47}_{-25}$,Yes
10717220,K06228.01,Kepler-1644 b,CONFIRMED,5521,109,2020AJ....159..280B,1.430,0.014,2021ApJS..255...17S,-2,13,77,144,53,,,,1.88,10.26133/NEA4,21.09,1666,4,1,$77^{+144}_{-53}$,$> 767$,No
8653134,K06186.01,Kepler-1643 b,CONFIRMED,4918,83,2020AJ....159..280B,5.05,0.05,SantosPrivComm,120,6,79,182,54,191,92,76,2.11,2022AJ....163..179P,5.34,0,0,1,$79^{+182}_{-54}$,$191^{+92}_{-76}$,Yes
11244682,K03933.01,Kepler-1699 b,CONFIRMED,5496,163,2021ApJS..255...17S,4.160,0.042,2021ApJS..255...17S,-11,7,85,106,58,,,,1.32,10.26133/NEA4,3.49,1664,0,1,$85^{+106}_{-58}$,$> 889$,No
5784777,K03916.01,Kepler-1529 b,CONFIRMED,4974,99,2020AJ....159..280B,6.43,0.06,SantosPrivComm,200,6,109,117,71,90,53,39,2.01,2020AJ....160..108B,5.34,64,0,1,$109^{+117}_{-71}$,$90^{+53}_{-39}$,Yes
11187436,K01804.01,Kepler-957 b,CONFIRMED,4947,86,2020AJ....159..280B,4.520,0.045,2019ApJS..244...21S,24,9,96,196,66,,,,6.9,2022AJ....163..179P,5.91,0,0,1,$96^{+196}_{-66}$,$> 241$,Yes
8873450,K07913.01,Kepler-1975 b,CONFIRMED,4450,132,2019ApJS..244...21S,3.360,0.034,2019ApJS..244...21S,56,9,96,223,66,,,,2.03,10.26133/NEA4,24.28,1792,0,1,$96^{+223}_{-66}$,$> 57$,Yes
4947556,K03936.02,Kepler-1930 b,CONFIRMED,4906,89,2020AJ....159..280B,7.10,0.07,2019ApJS..244...21S,170,4,174,106,65,115,55,49,1.52,2022AJ....163..179P,13.03,0,4,1,$174^{+106}_{-65}$,$115^{+55}_{-49}$,Yes
3440118,K03876.01,Kepler-1928 b,CONFIRMED,5577,86,2020AJ....159..280B,4.640,0.046,2021ApJS..255...17S,137,4,148,102,87,189,150,94,1.86,2022AJ....163..179P,19.58,1024,0,1,$148^{+102}_{-87}$,$189^{+150}_{-94}$,Yes
